order_id,customer_id,order_date,product_category,quantity,unit_price,currency,country
ORD-42-0000000,CUST-000328,2025-11-05,electronics,5,123.2,EUR,United States
ORD-42-0000001,CUST-000053,2025-01-20,sports,9,44.38,RWF,Rwanda
ORD-42-0000002,CUST-000016,2025-11-15,apparel,4,253.17,USD,United Kingdom
ORD-42-0000003,CUST-000102,2025-02-03,sports,9,210.34,RWF,United Kingdom
ORD-42-0000004,,2025-12-29,apparel,7,170.79,EUR,Kenya
ORD-42-0000005,CUST-000491,2025-07-13,electronics,2,190.58,GBP,Ghana
ORD-42-0000006,CUST-000310,2025-08-19,electronics,8,268.58,RWF,Rwanda
ORD-42-0000007,CUST-000283,2025-08-04,sports,10,442.84,GBP,United Kingdom
ORD-42-0000008,CUST-000099,2025-01-06,electronics,1,330.97,GBP,Rwanda
ORD-42-0000009,CUST-000438,2025-09-04,electronics,7,"139,71",GBP,Kenya
ORD-42-0000010,CUST-000190,2025-07-04,apparel,5,351.21,USD,United Kingdom
ORD-42-0000011,CUST-000326,2025-10-06,toys,4,82.54,RWF,Ghana
ORD-42-0000012,CUST-000474,2025-02-08,sports,9,110.59,GBP,Rwanda
ORD-42-0000013,CUST-000118,2025-12-16,home,7,134.6,EUR,United Kingdom
ORD-42-0000014,CUST-000449,2025-07-24,apparel,8,198.42,RWF,Kenya
ORD-42-0000015,CUST-000136,2025-10-22,apparel,9,269.95,KES,Germany
ORD-42-0000016,CUST-000460,2025-03-09,grocery,6,110.44,EUR,United Kingdom
ORD-42-0003770,CUST-000253,2025-11-16,electronics,2,77.27,EUR,United States
ORD-42-0000018,CUST-000217,2025-03-02,electronics,7,191.43,RWF,United Kingdom
ORD-42-0000019,CUST-000129,2025-03-24,electronics,2,341.17,KES,Ghana
ORD-42-0000020,CUST-000394,2025-02-07,home,2,147.46,EUR,Germany
ORD-42-0000021,CUST-000002,2025-08-20,toys,3,"254,33",USD,United States
ORD-42-0000022,CUST-000153,2025-02-08,toys,10,100.26,GBP,Kenya
ORD-42-0000023,CUST-000277,2025-04-05,unobtainium,10,162.75,USD,Rwanda
ORD-42-0000024,CUST-000476,2025-06-30,home,4,29.9,KES,
ORD-42-0000025,CUST-000044,2025-04-28,electronics,9,383.15,EUR,United States
ORD-42-0000026,,2025-03-26,apparel,5,264.31,KES,Germany
ORD-42-0000027,CUST-000494,2025-09-15,toys,4,356.76,RWF,United States
ORD-42-0000028,CUST-000333,2025-06-24,grocery,9,226.29,EUR,
ORD-42-0000029,CUST-000033,2025-07-12,electronics,10,277.41,KES,Kenya
ORD-42-0000030,CUST-000004,2025-11-26,sports,1,115.24,USD,Ghana
ORD-42-0000031,CUST-000037,2025-04-13,apparel,5,334.82,EUR,United Kingdom
ORD-42-0000032,CUST-000068,2025-03-15,toys,8,122.26,RWF,Germany
ORD-42-0000033,CUST-000098,2025-11-14,electronics,7,177.79,RWF,Germany
