order_id,customer_id,order_date,product_category,quantity,price,currency,country
ORD-42-0000000,CUST-000041,2025-11-05,electronics,5,123.2,EUR,United States
ORD-42-0000001,CUST-000007,2025-01-20,sports,9,44.38,RWF,Rwanda
ORD-42-0000002,CUST-000002,2025-11-15,apparel,4,253.17,USD,United Kingdom
ORD-42-0000003,CUST-000013,2025-02-03,sports,9,210.34,RWF,United Kingdom
ORD-42-0000004,CUST-000018,2025-12-29,apparel,7,170.79,EUR,Kenya
ORD-42-0000005,CUST-000049,2025-07-13,electronics,2,190.58,GBP,Ghana
ORD-42-0000006,CUST-000039,2025-08-19,electronics,8,268.58,RWF,Rwanda
ORD-42-0000007,CUST-000036,2025-08-04,sports,10,442.84,GBP,United Kingdom
ORD-42-0000008,CUST-000013,2025-01-06,electronics,1,330.97,GBP,Rwanda
ORD-42-0000009,CUST-000015,2025-11-11,grocery,5,227.25,GBP,Kenya
ORD-42-0000010,CUST-000024,2025-07-04,apparel,5,351.21,USD,United Kingdom
ORD-42-0000011,CUST-000041,2025-10-06,toys,4,82.54,RWF,Ghana
ORD-42-0000012,CUST-000041,2025-01-14,toys,4,342.62,USD,Kenya
ORD-42-0000013,CUST-000003,2025-07-24,grocery,5,34.03,KES,United States
ORD-42-0000014,CUST-000021,2025-09-15,sports,8,198.42,RWF,Kenya
ORD-42-0000015,CUST-000017,2025-10-22,apparel,9,269.95,KES,Germany
ORD-42-0000016,CUST-000038,2025-06-11,home,4,498.67,EUR,United Kingdom
ORD-42-0000017,CUST-000032,2025-11-16,electronics,2,77.27,EUR,United States
ORD-42-0000018,CUST-000028,2025-03-02,electronics,7,191.43,RWF,United Kingdom
ORD-42-0000019,CUST-000017,2025-03-24,electronics,2,341.17,KES,Ghana
ORD-42-0000020,CUST-000050,2025-02-07,home,2,147.46,EUR,Germany
ORD-42-0000021,CUST-000001,2025-08-20,toys,3,254.33,USD,United States
ORD-42-0000022,CUST-000020,2025-02-08,toys,10,100.26,GBP,Kenya
ORD-42-0000023,CUST-000035,2025-04-05,electronics,10,162.75,USD,Rwanda
ORD-42-0000024,CUST-000024,2025-07-28,apparel,1,121.19,KES,Rwanda
ORD-42-0000025,CUST-000006,2025-04-28,electronics,9,383.15,EUR,United States
ORD-42-0000026,CUST-000031,2025-03-26,apparel,5,264.31,KES,Germany
ORD-42-0000027,CUST-000014,2025-03-31,sports,4,356.76,RWF,United States
ORD-42-0000028,CUST-000042,2025-06-24,grocery,9,226.29,EUR,Kenya
ORD-42-0000029,CUST-000005,2025-07-12,electronics,10,277.41,KES,Kenya
ORD-42-0000030,CUST-000001,2025-11-26,sports,1,115.24,USD,Ghana
ORD-42-0000031,CUST-000005,2025-04-13,apparel,5,334.82,EUR,United Kingdom
ORD-42-0000032,CUST-000009,2025-03-15,toys,8,122.26,RWF,Germany
ORD-42-0000033,CUST-000013,2025-11-14,electronics,7,177.79,RWF,Germany
ORD-42-0000034,CUST-000047,2025-12-05,sports,2,31.25,GBP,Rwanda
ORD-42-0000035,CUST-000016,2025-09-25,apparel,9,224.86,RWF,Kenya
ORD-42-0000036,CUST-000018,2025-05-10,apparel,2,222.12,KES,Rwanda
ORD-42-0000037,CUST-000004,2025-02-02,toys,1,484.53,EUR,Kenya
ORD-42-0000038,CUST-000027,2025-04-28,grocery,4,432.46,USD,Kenya
ORD-42-0000039,CUST-000025,2025-12-31,grocery,5,463.33,RWF,Ghana
ORD-42-0000040,CUST-000028,2025-01-10,sports,9,331.27,RWF,Kenya
ORD-42-0000041,CUST-000013,2025-08-03,apparel,1,290.01,KES,Rwanda
ORD-42-0000042,CUST-000048,2025-07-25,electronics,1,292.5,KES,United Kingdom
ORD-42-0000043,CUST-000011,2025-12-03,toys,2,425.82,USD,United Kingdom
ORD-42-0000044,CUST-000005,2025-01-21,apparel,7,60.82,KES,Kenya
ORD-42-0000045,CUST-000038,2025-03-03,electronics,10,41.91,KES,United Kingdom
ORD-42-0000046,CUST-000034,2025-07-24,home,4,335.19,GBP,Kenya
ORD-42-0000047,CUST-000017,2025-06-13,apparel,5,229.16,USD,Rwanda
ORD-42-0000048,CUST-000030,2025-02-17,toys,2,37.56,EUR,United Kingdom
